SERVICIO;PRODUCTO;MES;CANTIDAD
URGENCIAS;JABON QUIRURGICO;ENERO;23
URGENCIAS;JABON QUIRURGICO;FEBRERO;12
URGENCIAS;JABON QUIRURGICO;MARZO;23
URGENCIAS;JABON QUIRURGICO;ABRIL;12
URGENCIAS;JABON QUIRURGICO;MAYO;4
URGENCIAS;JABON QUIRURGICO;JUNIO;15
URGENCIAS;JABON QUIRURGICO;JULIO;12
URGENCIAS;JABON QUIRURGICO;AGOSTO;12
URGENCIAS;JABON QUIRURGICO;SEPTIEMBRE;4
URGENCIAS;JABON QUIRURGICO;OCTUBRE;4
URGENCIAS;JABON QUIRURGICO;NOVIEMBRE;23
URGENCIAS;JABON QUIRURGICO;DICIEMBRE;15
URGENCIAS;ALCOHOL GLICERINADO;ENERO;18
URGENCIAS;ALCOHOL GLICERINADO;FEBRERO;12
URGENCIAS;ALCOHOL GLICERINADO;MARZO;7
URGENCIAS;ALCOHOL GLICERINADO;ABRIL;0
URGENCIAS;ALCOHOL GLICERINADO;MAYO;12
URGENCIAS;ALCOHOL GLICERINADO;JUNIO;8
URGENCIAS;ALCOHOL GLICERINADO;JULIO;8
URGENCIAS;ALCOHOL GLICERINADO;AGOSTO;15
URGENCIAS;ALCOHOL GLICERINADO;SEPTIEMBRE;8
URGENCIAS;ALCOHOL GLICERINADO;OCTUBRE;0
URGENCIAS;ALCOHOL GLICERINADO;NOVIEMBRE;8
URGENCIAS;ALCOHOL GLICERINADO;DICIEMBRE;12
MEDICOQUIRURGICO;JABON QUIRURGICO;ENERO;9
MEDICOQUIRURGICO;JABON QUIRURGICO;FEBRERO;23
MEDICOQUIRURGICO;JABON QUIRURGICO;MARZO;27
MEDICOQUIRURGICO;JABON QUIRURGICO;ABRIL;12
MEDICOQUIRURGICO;JABON QUIRURGICO;MAYO;23
MEDICOQUIRURGICO;JABON QUIRURGICO;JUNIO;4
MEDICOQUIRURGICO;JABON QUIRURGICO;JULIO;23
MEDICOQUIRURGICO;JABON QUIRURGICO;AGOSTO;4
MEDICOQUIRURGICO;JABON QUIRURGICO;SEPTIEMBRE;5
MEDICOQUIRURGICO;JABON QUIRURGICO;OCTUBRE;2
MEDICOQUIRURGICO;JABON QUIRURGICO;NOVIEMBRE;31
MEDICOQUIRURGICO;JABON QUIRURGICO;DICIEMBRE;4
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;ENERO;6
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;FEBRERO;9
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;MARZO;15
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;ABRIL;4
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;MAYO;0
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;JUNIO;42
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;JULIO;8
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;AGOSTO;0
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;SEPTIEMBRE;19
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;OCTUBRE;0
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;NOVIEMBRE;32
MEDICOQUIRURGICO;ALCOHOL GLICERINADO;DICIEMBRE;2
GINECOLOGIA;JABON QUIRURGICO;ENERO;4
GINECOLOGIA;JABON QUIRURGICO;FEBRERO;7
GINECOLOGIA;JABON QUIRURGICO;MARZO;8
GINECOLOGIA;JABON QUIRURGICO;ABRIL;4
GINECOLOGIA;JABON QUIRURGICO;MAYO;8
GINECOLOGIA;JABON QUIRURGICO;JUNIO;4
GINECOLOGIA;JABON QUIRURGICO;JULIO;8
GINECOLOGIA;JABON QUIRURGICO;AGOSTO;4
GINECOLOGIA;JABON QUIRURGICO;SEPTIEMBRE;4
GINECOLOGIA;JABON QUIRURGICO;OCTUBRE;15
GINECOLOGIA;JABON QUIRURGICO;NOVIEMBRE;0
GINECOLOGIA;JABON QUIRURGICO;DICIEMBRE;8
GINECOLOGIA;ALCOHOL GLICERINADO;ENERO;4
GINECOLOGIA;ALCOHOL GLICERINADO;FEBRERO;8
GINECOLOGIA;ALCOHOL GLICERINADO;MARZO;4
GINECOLOGIA;ALCOHOL GLICERINADO;ABRIL;4
